REGION,DISTRICT,VILLAGE,LATITUDE,LONGITUDE
HIRAAN,BELET WEYNE,XUJUB,4.6719283333,45.2863650000
HIRAAN,BELET WEYNE,XUJUB,4.6723116667,45.2867400000
HIRAAN,BELET WEYNE,XUJUB,4.6723216667,45.2868683333
HIRAAN,BELET WEYNE,XUJUB,4.6724566667,45.2868500000
HIRAAN,BELET WEYNE,XUJUB,4.6726116667,45.2866883333
HIRAAN,BELET WEYNE,XUJUB,4.6781133333,45.2881416667
HIRAAN,BELET WEYNE,XUJUB,4.6786483333,45.2880783333
HIRAAN,BELET WEYNE,XUJUB,4.6812583333,45.2876750000
HIRAAN,BELET WEYNE,XUJUB,4.6814066667,45.2876550000
HIRAAN,BELET WEYNE,XUJUB,4.6819650000,45.2930366667
HIRAAN,BELET WEYNE,XUJUUB,4.6848033333,45.2935883333
HIRAAN,BELET WEYNE,XUJUB,4.6848550000,45.2939233333
HIRAAN,BELET WEYNE,XUJUB,4.6848866667,45.2935066667
HIRAAN,BELET WEYNE,HUJUB,4.6849633333,45.2937516667
HIRAAN,BELET WEYNE,XUJUB,4.6852000000,45.2932500000
HIRAAN,BELET WEYNE,FAAFGUMARE,4.6859066667,45.2681683333
HIRAAN,BELET WEYNE,FAAFGUMARE,4.6866916667,45.2643066667
HIRAAN,BELET WEYNE,FAAFGUMARE,4.6871516667,45.2645500000
HIRAAN,BELET WEYNE,FAAFGUMARE,4.6875016667,45.2651650000
HIRAAN,BELET WEYNE,FAAFGUMARE,4.6878933333,45.2661766667
HIRAAN,BELET WEYNE,FAAFGUMARE,4.6895050000,45.2692166667
HIRAAN,BELET WEYNE,HUJUB,4.6907550000,45.2954000000
HIRAAN,BELET WEYNE,FAAFGUMARE,4.6910250000,45.2723516667
HIRAAN,BELET WEYNE,FAAFGUMARE,4.6917466667,45.2724550000
HIRAAN,BELET WEYNE,FAAFGUMARE,4.6920116667,45.2729583333
HIRAAN,BELET WEYNE,HUJUB,4.6920400000,45.2983550000
HIRAAN,BELET WEYNE,HUJUB,4.6923366667,45.2966500000
HIRAAN,BELET WEYNE,FAAFGUMARE,4.6937450000,45.2741566667
HIRAAN,BELET WEYNE,FAAFGUMARE,4.6942133333,45.2731300000
HIRAAN,BELET WEYNE,FAAFGUMARE,4.6944950000,45.2729766667
HIRAAN,BELET WEYNE,FAAFGUMARE,4.6946216667,45.2725516667
HIRAAN,BELET WEYNE,FAAFGUMARE,4.6957000000,45.2738316667
HIRAAN,BELET WEYNE,FAAFGUMARE,4.6957133333,45.2740000000
HIRAAN,BELET WEYNE,FAAFGUMARE,4.6974766667,45.2756083333
HIRAAN,BELET WEYNE,F AAFGUMARE,4.6995833333,45.2612566667
HIRAAN,BELET WEYNE,FAAFGUMARE,4.7001816667,45.2581716667
HIRAAN,BELET WEYNE,FAAFGUMARE,4.7006383333,45.2621633333
HIRAAN,BELET WEYNE,HUJUB,4.7007533333,45.3047766667
HIRAAN,BELET WEYNE,FAAFGUMARE,4.7008650000,45.2585850000
HIRAAN,BELET WEYNE,HUJUB,4.7019633333,45.3053283333
HIRAAN,BELET WEYNE,SHABEELOW,4.7150583333,45.2155100000
HIRAAN,BELET WEYNE,SHABEELOW,4.7150683333,45.2156400000
HIRAAN,BELET WEYNE,SHABEELOW,4.7152033333,45.2155733333
HIRAAN,BELET WEYNE,SHABEELOW,4.7153733333,45.2161483333
HIRAAN,BELET WEYNE,SHABEELOW,4.7154066667,45.2160316667
HIRAAN,BELET WEYNE,SHABEELOW,4.7154300000,45.2162150000
